text,rating_numerator,rating_denominator,name,jpg_url,img_num,retweets,favorites,followers,friends,source_device,diff_dogs,image_predic,confident
This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,13.0,10.0,Phineas,https://pbs.twimg.com/media/CT4udn0WwAA0aMy.jpg,1.0,7335.0,34960.0,8989897.0,16.0,Twitter for iPhone,None,Welsh_springer_spaniel,0.465074
"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",13.0,10.0,Tilly,https://pbs.twimg.com/media/CT42GRgUYAA5iDo.jpg,1.0,5473.0,30267.0,8989897.0,16.0,Twitter for iPhone,None,redbone,0.506826
This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,12.0,10.0,Archie,https://pbs.twimg.com/media/CT4521TWwAEvMyu.jpg,1.0,3621.0,22778.0,8989897.0,16.0,Twitter for iPhone,None,German_shepherd,0.596461
This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,13.0,10.0,Darla,https://pbs.twimg.com/media/CT5Dr8HUEAA-lEu.jpg,1.0,7525.0,38232.0,8989897.0,16.0,Twitter for iPhone,None,Rhodesian_ridgeback,0.408143
"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",12.0,10.0,Franklin,https://pbs.twimg.com/media/CT5IQmsXIAAKY4A.jpg,1.0,8096.0,36498.0,8989897.0,16.0,Twitter for iPhone,None,miniature_pinscher,0.560311
Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,13.0,10.0,None,https://pbs.twimg.com/media/CT5Jof1WUAEuVxN.jpg,1.0,2713.0,18416.0,8989897.0,16.0,Twitter for iPhone,None,Bernese_mountain_dog,0.651137
"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",13.0,10.0,Jax,https://pbs.twimg.com/media/CT5KoJ1WoAAJash.jpg,1.0,1755.0,10713.0,8989897.0,16.0,Twitter for iPhone,None,NaN,0.0
When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,13.0,10.0,None,https://pbs.twimg.com/media/CT5N9tpXIAAifs1.jpg,1.0,16445.0,58868.0,8989897.0,16.0,Twitter for iPhone,None,chow,0.692517
This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,13.0,10.0,Zoey,https://pbs.twimg.com/media/CT5PY90WoAAQGLo.jpg,1.0,3763.0,25338.0,8989897.0,16.0,Twitter for iPhone,None,golden_retriever,0.00795896
This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,14.0,10.0,Cassie,https://pbs.twimg.com/media/CT5Qw94XAAA_2dP.jpg,1.0,6366.0,28916.0,8989897.0,16.0,Twitter for iPhone,doggo,miniature_poodle,0.201493
This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,13.0,10.0,Koda,https://pbs.twimg.com/media/CT5Vg_wXIAAXfnj.jpg,1.0,6396.0,27893.0,8989897.0,16.0,Twitter for iPhone,None,golden_retriever,0.77593
This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,13.0,10.0,Bruno,https://pbs.twimg.com/media/CT5cN_3WEAAlOoZ.jpg,1.0,4338.0,25354.0,8989897.0,16.0,Twitter for iPhone,None,Gordon_setter,0.503672
Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,13.0,10.0,None,https://pbs.twimg.com/media/CT5d9DZXAAALcwe.jpg,1.0,8717.0,43515.0,8989897.0,16.0,Twitter for iPhone,puppo,Walker_hound,0.260857
This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,12.0,10.0,Ted,https://pbs.twimg.com/media/CT5m4VGWEAAtKc8.jpg,1.0,3895.0,24463.0,8989897.0,16.0,Twitter for iPhone,None,pug,0.489814
This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,13.0,10.0,Stuart,https://pbs.twimg.com/media/CT5w9gUW4AAsBNN.jpg,1.0,1963.0,13787.0,8989897.0,16.0,Twitter for iPhone,puppo,bloodhound,0.195217
This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,13.0,10.0,Oliver,https://pbs.twimg.com/media/CT51-JJUEAA6hV8.jpg,1.0,4634.0,22838.0,8989897.0,16.0,Twitter for iPhone,None,Lhasa,0.58233
This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,12.0,10.0,Jim,https://pbs.twimg.com/media/CT54YGiWUAEZnoK.jpg,1.0,3904.0,26450.0,8989897.0,16.0,Twitter for iPhone,None,English_setter,0.298617
This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,13.0,10.0,Zeke,https://pbs.twimg.com/media/CT56LSZWoAAlJj2.jpg,1.0,3693.0,23222.0,8989897.0,16.0,Twitter for iPhone,None,NaN,0.0
This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,13.0,10.0,Ralphus,https://pbs.twimg.com/media/CT8QCd1WEAADXws.jpg,1.0,3004.0,17897.0,8989897.0,16.0,Twitter for iPhone,None,NaN,0.0
This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,12.0,10.0,Gerald,https://pbs.twimg.com/media/CT8g3BpUEAAuFjg.jpg,1.0,4709.0,27516.0,8989897.0,16.0,Twitter for iPhone,None,Maltese_dog,0.8575309999999999
This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,13.0,10.0,Jeffrey,https://pbs.twimg.com/media/CT8mx7KW4AEQu8N.jpg,1.0,10254.0,42094.0,8989897.0,16.0,Twitter for iPhone,None,NaN,0.0
I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,14.0,10.0,None,https://pbs.twimg.com/media/CT9OwFIWEAMuRje.jpg,1.0,15663.0,62212.0,8990282.0,16.0,Twitter for iPhone,None,Newfoundland,0.278407
This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,13.0,10.0,Canela,https://pbs.twimg.com/media/CT9Vn7PWoAA_ZCM.jpg,1.0,9188.0,30546.0,8989897.0,16.0,Twitter for iPhone,None,golden_retriever,0.8587440000000001
You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,13.0,10.0,None,https://pbs.twimg.com/media/CT9cx0tUEAAhNN_.jpg,1.0,5203.0,27855.0,8989897.0,16.0,Twitter for iPhone,None,malamute,0.33687399999999995
This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,12.0,10.0,None,https://pbs.twimg.com/media/CT9lXGsUcAAyUFt.jpg,1.0,6654.0,31530.0,8989897.0,16.0,Twitter for iPhone,None,NaN,0.0
